Text,Ground Truth,docugami/dfm-csl-large
"Tenant shall, at its sole cost and expense, keep the sidewalk in front of the Premises 18 inches into the street from the curb clean free of garbage, waste, refuse, excess water, snow, and ice and Tenant shall pay, as additional rent, any fine, cost, or expense caused by Tenant's failure to do so. In the event Tenant operates a sidewalk café, Tenant shall, at its sole cost and expense, maintain, repair, and replace as necessary, the sidewalk in front of the Premises and the metal trapdoor leading to the basement of the Premises, if any. Tenant shall post warning signs and cones on all sides of any side door when in use and attach a safety bar across any such door at all times when open.",Sidewalk Maintenance,Maintenance and Repair Requirements
"To the maximum extent permitted by applicable law, during the Term of this Agreement and for a period of one (1) year thereafter, Caleb Divine may not market software products or do business that directly or indirectly competes with Docugami software products.",Non-Compete Clause,Competition Restriction
"8.        Term. This Agreement will remain in effect for a period of seven (7) years from the date of last disclosure of Confidential Information by either party, at which time it will terminate.",Agreement Term,Termination Clause
"[40] in the opinion of the investigator or sponsor, are unsuitable for inclusion in the study.",Ineligible Participants,Study Exclusion Criteria
"Forecasts; Order Acceptance.

                  (1) Notwithstanding anything in this Agreement to the contrary, under no circumstances shall Supplier be obligated to supply Purchaser with more than (1) 120,000 units of LeverCross Product during any twelve

                     (12) month period or more than 8,000 units of LeverCross Product during any one (1) month period, or (11) 20,000 units of NanoCross Product during any twelve (12) month period or more than 3,500 units of NanoCross Product during any one (1) month period, in each case unless Supplier agrees in writing to supply such",Order Limitations,Product Quantity Limits
"Without limiting Landlord's rights under the foregoing paragraph of this Article, Tenant covenants and agrees that, provided notice of renewal has not been given under Article 72, it will permit",Renewal Permission,Renewal Notice Requirements
"Deluxe property coverage part schedule - specific limits - described premises

       Insurance applies only to a premises location and building number and to a coverage or type of property for which a Specific Limit of Insurance is shown on schedule.",Property Coverage Schedule,Insurance Coverage
Hold all oral home meds and keep patient NPO until airway swelling is reduced and patient can swallow easily,Medication Restrictions,Study Objectives
Water or Other Substance Loss – Tear Out and Replacement Expense,Water Loss Tear Out,Water or Other Substance Loss
"Excess Liability/Umbrella coverage with a limit of no less than $9,000,000 per occurrence and in the aggregate (such limit may be achieved through increase of limits in underlying policies to reach the level of coverage shown here). This policy shall name Client as an additional insured with respect to the provision of services provided under this Agreement. This policy shall include a waiver of subrogation against Client.",Excess Liability Coverage,Excess Liability Coverage
such additional air purifying equipment as may be necessary to accomplish the purposes and intent of this Article.,Air Purification Requirements,Air Purification Requirements
Personal Property at Undescribed Premises,Personal Property Location,Personal Property at Undescribed Premises
The rights granted to Tenant under this article are personal to the original named Tenant in this Lease and any Permitted Assignee and may not be assigned or exercised by anyone other than such Tenant or a Permitted Assignee and only while such Tenant or Permitted Transferee is in possession of the entire Premises.,Assignment Rights,Assignment of Rights
"(iv)   Place a load on any floor in the Demised Premises, exceeding the floor load per square foot which such floor was designed to carry, or install, operate or maintain therein any heavy item of equipment except in such manner as to achieve a proper distribution of the weight; or",Floor Load Limit,No Landlord Obligation
"Benefit/Risk Assessment

              This study will not offer any direct benefits to the patients participating in the study. The data from previous studies in healthy patients and patients with T1DM and T2DM have shown that LY900014 was well tolerated and the adverse drug reactions are in keeping with those reported for Humalog.

              Potential risks associated with LY900014, derived from the known risks of insulin lispro (Humalog), are hypoglycemia, hypersensitivity reactions (localized allergy and/or systemic allergy), undesirable effects at the injection site (injection-site reactions and lipodystrophy), and peripheral edema (Humalog package insert, 2015).",Risks & Benefits,Risk/Benefit Assessment
"On November 28,, 2007, at 1800 UTC, a Cirrus Design Corporation SR-20, N141CD, serial number 1032, while on approach for landing at Jaleg, Schleswig-Holsteinschen, Germany, struck power lines and subsequently impacted terrain. The airplane was destroyed and the private pilot, the sole person on board the airplane, was fatally injured. Instrument meteorological conditions prevailed at the time of the accident. The cross-country ferry flight originated in the Netherlands and was en route to Sylt, Germany.",Accident Summary,Accident Details
"Conduct a one-week Discovery session with Quick to understand needs, identify stakeholders and research areas.",Discovery Session,Research Plan
"No party hereunder and no party referred to herein shall be exculpated from its own negligence or the negligence of its own employees or from any breach of its obligations under this lease (except, in either case, to the extent damages and injuries therefrom are covered by insurance actually maintained by any party, or, with respect to Landlord, that Tenant shall then be required to maintain hereunder), and no provision in this lease shall be so construed).",No Exculpation for Negligence,No Exculpation
"Deluxe Property Coverage Part Schedule – Specific Limits

        PREM

           BUILDING

          DESCRIPTION OF COVERAGE OR PROPERTY

                LIMITS OF INSURANCE

        3

           3

          Buildings

                      $10,605,715

        3

           4

          Buildings

                       $1,500,000

        4

           5

          Your Business Personal Property

                          $25,000

        9

           14

          Your Business Personal Property

                         $100,000

        10

           16

          Your Business Personal Property

                          $25,000

        12

           18

          Your Business Personal Property

                          $25,000

                                          SHOPPING CENTERS - MAINTAINED BY THE LESSEE (LESSOR'S RISK ONLY)

        TX

           5/7

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

            95,583

         52.752

          $5,042

        TX

           6/8

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

            93,311

         52.752

          $4,922

        TX

           6/9

          46606

          PARKING - PUBLIC - SHOPPING CENTERS - MAINTAINED BY THE LESSEE (LESSOR'S RISK ONLY)

        Prem/Ops.

            22,445

         18.168

           $408

        TX

           7/10

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

            70,000

         52.752

          $3,693

        TX

           8/11

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

             1,447

         52.752

            $76

        TX

           8/12

          46606

          PARKING - PUBLIC - SHOPPING CENTERS - MAINTAINED BY THE LESSEE (LESSOR'S RISK ONLY)

        Prem/Ops.

           134,524

         18.168

          $2,444

        TX

           8/13

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

           138,000

         52.752

          $7,280

        TX

           9/14

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

           122,000

         52.752

          $6,436

        TX

           9/15

          46606

          PARKING - PUBLIC - SHOPPING CENTERS - MAINTAINED BY THE LESSEE (LESSOR'S RISK ONLY)

        Prem/Ops.

           100,400

         18.168

          $1,824

        TX

           10/16

          61217

          BUILDINGS OR PREMISES -

        Prem/Ops.

            83,940

         43.485

          $3,650

                                          BANK OR OFFICE -

        TX

           11/17

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

            36,691

         43.485

          $1,596

        TX

           12/18

          46606

          PARKING - PUBLIC - SHOPPING CENTERS - MAINTAINED BY THE LESSEE (LESSOR'S RISK ONLY)

        Prem/Ops.

           150,000

         18.168

          $2,725

        TX

           12/18

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

           112,772

         52.752

          $5,949

        TX

           13/19

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

            47,000

         52.752

          $2,479

        TX

           14/20

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

            36,691

         52.752

          $1,936",Property Coverage Limits,Building and Premises Coverage
Appurtenant Buildings and Structures,Appurtenant Buildings and Structures,Appurtenant Buildings and Structures
Aircraft and Owner/Operator Information,Aircraft and Owner/Operator Information,Aircraft and Owner/Operator Information
"1.   Definitions. In this Agreement the following words and phrases shall have the following respective meanings, unless the context otherwise requires:",Definitions,Definitions
"The fixed rent shall be payable in advance on the first day of each calendar month commencing five months following the Commencement Date (the “Rent Commencement Date’) . Provided Tenant is not in default under any term of this Lease Tenant shall receive a rent credit for (i)) one-half of the monthly fixed rent due ($13,000.00) for the sixth month following the Commencement Date; (ii) one- half of the monthly fixed rent due ($13,000.00) for the seventh month following the Commencement Date;",Rent Credit Schedule,Fixed Rent Payment and Credit
"The failure of Landlord to insist upon a strict performance of any term, covenant or condition herein shall not be deemed a waiver of any rights or remedies that Landlord may have or a waiver of any subsequent breach or default. 



 If any provision of this Lease shall be unenforceable or invalid, such unenforceability or invalidity shall not affect any other provision of this Lease. 



 The submission of this Lease to Tenant shall not be construed to impose any right or obligations on either party or as an offer or option, and Tenant shall not have any rights hereunder unless and until Landlord shall execute the Lease and deliver a signed original to the Tenant. 



         The terms “Landlord” and “Owner” shall have the same meaning when used in this Lease. 



 Notwithstanding anything to the contrary contained in any portion of this Lease, Landlord shall have no obligation to Tenant to supply any service or perform any act. Landlord shall not supply heat and shall not supply air conditioning to the Premises. 



 Tenant shall not record this Lease or any Memorandum thereof. A breach of this provision shall be a breach of a substantial obligation of this Lease which, at Landlord’s option, shall be a default of this Lease. 



 All of the furnishings, fixtures, equipment, effects and property of every kind, nature and description of Tenant in the Premises and all persons claiming by, through or under Tenant which, during the continuance of this Agreement or any occupancy of the Premises by Tenant shall be at the sole risk and hazard of Tenant, and if the whole or any part thereof shall be injured, destroyed, or damaged by fire, water or otherwise, or by the leakage or bursting of water pipes, steam pipes, or other pipes, or by theft or from any other cause, no part of said loss or damage is to be charged to or borne by Landlord, except for intentional acts or negligence of Landlord. 



         All, HVAC, and lighting fixtures installed by Tenant in the Premises shall be deemed 

 fixtures. 



 Tenant shall, at its sole cost and expense, maintain and promptly make all repairs and replacements, structural or otherwise, ordinary and extraordinary, to all of the furnishings, fixtures, kitchen equipment, all other equipment, effects and property of every kind, nature and description located in the premises. 



 Tenant acknowledges that Landlord shall have no obligation to provide any security services for the Premises or the Building. Tenant acknowledges that it has been advised that the Building is designated a Landmark and is subject to review of the Landmarks Preservation Commission. 



         Tenant shall not use any elevator of the building for any purpose whatsoever. 



 Landlord shall be entitled, without any reduction in Tenant's rent, to erect any bridge scaffolding in front of the Premises in connection with alterations or repairs to the building of which the Premises forms a part, or the sidewalk serving the Premises; provided, however, that Landlord shall give Tenant thirty (30) days notice before Landlord erects any such bridge scaffolding and proceed with reasonable diligence to prosecute to completion of the alteration or repairs necessitating such bridge scaffolding. Landlord represents that as of the effective date there is (a) no intention to erect bridge scaffolding and (b) is without actual knowledge of any condition or circumstance which may require the erection of bridge scaffolding 



 This lease shall not be recorded. No memorandum of this lease shall be recorded without the express written consent of Landlord. 



 The invalidity or unenforceability of any provision of this lease shall in no way affect the validity or enforceability of any of the other provisions contained in this lease. Landlord and Tenant understand, agree and acknowledge that this lease has been freely negotiated by both parties and that, in the event of any controversy, dispute, or contest over the meaning, interpretation, validity or enforceability of this lease or any of its terms and conditions, there shall be no inference, presumption or conclusion drawn whatsoever against either party by virtue of that party having drafted this lease or any portion hereof. 



 There are no oral agreements between the parties hereto affecting this lease and this lease supersedes and cancels any and all previous representations, negotiations, arrangements and understandings, if any, between the parties hereto with respect to the subject matter hereof, and shall not be used to interpret or construe this lease. 



 Wherever in this lease there is any conflict between the provisions of this lease other than the Rider and the Rider provisions of this lease (i.e. beginning at Article 40), the Rider provisions shall be deemed to supersede and be controlling. 



 This lease may not be changed, modified or discharged, in whole or in part, orally, and no executory agreement shall be effective to change, modify or discharge, in whole or in part, this lease or any obligations under this lease, unless such agreement is set forth in a written instrument executed by the party against whom enforcement of the change, modification or discharge is sought. In addition, Tenant shall reimburse Landlord on demand for any and all reasonable attorney’s fees incurred by Landlord in connection with the preparation, review, negotiation and/or consummation of any amendment, modification, instrument, agreement or other understanding made at the request of, or as an accommodation to, Tenant with respect to this lease. In addition, Landlord shall reimburse Tenant on demand for any and all reasonable attorney’s fees incurred by Tenant in connection with the preparation, review, negotiation and/or consummation of any amendment, modification, instrument, agreement or other understanding made at the request of, or as an accommodation to, Landlord with respect to this lease. 



 The mailing or delivery of a lease by the Landlord to a possible Tenant, its agent or attorney, shall not be deemed an offer nor shall any obligation or liability be created on the part of Landlord until such time as a lease, duly executed by the Landlord, is delivered to such possible Tenant, its agent or attorney. 



Tenant shall give notice to Landlord, promptly after Tenant learns thereof, of (i) any accident in or about the Demised Premises resulting in material injury to person or property, (ii) all fires and other casualties within the Demised Premises, (iii) all material damages to or defects in the Demised Premises, including the fixtures, equipment and appurtenances thereof for the repair of which Landlord might be responsible, and (iv) all damage to or defects in any parts or appurtenances of the Building’s sanitary, electrical, heating, ventilating, air conditioning, elevator and other systems located in or passing through the Demised Premises or any part thereof. 



 In the event that Tenant is not an individual, Tenant represents that the officer or officers, partner or partners, member or members or manager or managers executing this lease have the requisite authority to do so. 



 Tenant hereby acknowledges that Landlord makes no representations as to the compatibility of the Building systems with Tenant’s equipment. 



 Tenant shall indemnify, hold harmless and defend Landlord, its affiliates, managing agents, subsidiaries, directors, officers, employees and agents from and against any and all liabilities, claims, demands, damages, costs, expenses (including reasonable attorneys’ fees), suits, judgments whether actual or alleged, including such for bodily injury or wrongful death to any person (including tenant employees and invitees) and property damage to any property (subject to the waiver of subrogation provisions of this lease), (i) occurring in the Demised Premises; (ii) arising from the acts or omissions of the Tenant, its subtenants, its employees, invitees, contractors or agents to the extent constituting negligence; (iii) arising from any breach of this lease or misconduct by any of the foregoing. Upon notification by the Landlord of an indemnifiable event, Tenant at its own expense shall arrange for Landlord’s defense (at Landlord’s option) and confirm indemnification; or (iv) arising from any failure of Tenant to comply in all respects with any Requirements or the ADA. These indemnification provisions are to continue after lease expiration and are not limited by the amount of available insurance in place. 



 This lease shall be construed in accordance with and governed by the internal laws (without reference to choice or conflict of laws) of the State of New York. In respect of any dispute between the parties regarding the subject matter hereof, the parties hereby irrevocably consent and submit to in personam jurisdiction in the courts of New York, located in the county in which the Building is located, including the United States courts located in said county, and to all proceedings in such courts. The parties hereby agree that such courts shall be the venue and exclusive and proper forum in which to adjudicate any case or controversy arising either, directly or indirectly, under or in connection with this lease and that they will not contest or challenge the jurisdiction or venue of these courts. 



 Notwithstanding anything contained to the contrary in this lease, (i) Tenant hereby waives any right to recover against Landlord any indirect, consequential, special, punitive or incidental damages against Landlord in any cause of action, proceeding or claim arising out of, or in connection with, this lease; and (ii) Landlord hereby waives any right to recover against Tenant any indirect, consequential, special, punitive or incidental damages against Tenant in any cause of action, proceeding or claim arising out of, or in connection with, this lease. 



 Tenant shall obey and observe (and compel its officers, employees, contractors, licensee",No Landlord Obligation,No Landlord Obligation
"If, in connection with any work being performed by or for Tenant or any subtenant, or in connection with any materials being furnished to Tenant or any subtenant, any mechanic's lien or other lien or charge shall be filed or made against the Premises or any part thereof, or if any such lien or charge shall be filed or made against Landlord, then Tenant, at Tenant's expense, within 30 days after such lien or charge shall have been filed or made, shall cause the same to be canceled and discharged of record by payment thereof or filing a bond or moving to file a bond or otherwise. Tenant promptly and diligently shall defend any suit, action or proceeding which may be brought for the enforcement of such lien or charge; shall satisfy and discharge any judgment entered therein within ten days after the entry of such judgment by payment thereof or filing a bond or otherwise; and on demand shall pay any and all liability, claim, loss, damage or expense, including reasonable attorneys' fees, suffered or incurred by Landlord in connection therewith.",Lien Cancellation and Discharge,Lien Cancellation and Discharge
Coverage for Overhead Transmission Lines is: included.,Overhead Transmission Line Coverage,Endorsement Options
"Tenant shall indemnify and hold Landlord harmless from and against any and all bills for labor performed or equipment, fixtures and materials furnished to or for Tenant, and from and against any and all liens or claims therefor or against the Premises or the Building of which it forms a part, and from and against any and all liability, claim, loss, damage or expense, including reasonable attorneys' fees, in 





 connection with any work performed by or for Tenant. The Premises and the Building shall at all times be free of liens for labor and materials supplied or claimed to have been supplied to or on behalf of Tenant, and no financing statements or other security instruments shall be filed against the Premises or the Building or the contents thereof. This shall not preclude the filing on Tenant’s equipment. 



 Tenant shall not directly or indirectly create or permit to be created any mortgage, lien, security interest, pledge, conditional sale, or other encumbrance on the Premises or any part thereof, Tenant's interest under this Lease, or any rent hereunder. The foregoing shall not apply to liens for impositions not yet due, or liens of mechanics, materialmen, suppliers or vendors, incurred in the ordinary course of business for sums which are not yet due, provided that adequate provision for the payment thereof shall have been made and the following paragraph is complied with. 



 If, in connection with any work being performed by or for Tenant or any subtenant, or in connection with any materials being furnished to Tenant or any subtenant, any mechanic's lien or other lien or charge shall be filed or made against the Premises or any part thereof, or if any such lien or charge shall be filed or made against Landlord, then Tenant, at Tenant's expense, within 30 days after such lien or charge shall have been filed or made, shall cause the same to be canceled and discharged of record by payment thereof or filing a bond or moving to file a bond or otherwise. Tenant promptly and diligently shall defend any suit, action or proceeding which may be brought for the enforcement of such lien or charge; shall satisfy and discharge any judgment entered therein within ten days after the entry of such judgment by payment thereof or filing a bond or otherwise; and on demand shall pay any and all liability, claim, loss, damage or expense, including reasonable attorneys' fees, suffered or incurred by Landlord in connection therewith. 



 Nothing in this Lease shall constitute any consent or request by Landlord, express or implied, for the performance of any labor or services or the furnishing of any materials or other property in respect of the Premises or any part thereof, nor as giving Tenant any right, power or authority to contract for or permit the performance of any labor or services or the furnishing of any materials or other property in any fashion that would permit the filing or making of any lien or claim against Landlord, the Premises or the Building. Landlord shall have the right, from time to time, to place upon the Premises in a conspicuous place such sign or other notice as Landlord may deem necessary or appropriate so as to give notice to others of the provisions of the preceding sentence.",Tenant Indemnification & Lien Protection,Indemnification and Liability
"If at any time Tenant shall neglect or fail to provide or maintain insurance or to deliver insurance policies in accordance with this Article, Landlord may effect such insurance as agent for Tenant, by taking out policies in a company satisfactory to Landlord, and the amount of the premiums paid for such 





 insurance shall be paid by Tenant to Landlord on demand. Landlord, in addition to Landlord's other rights, powers and remedies, shall be entitled to recover as damages for any breach of this Article the uninsured amount of any liability, claim, loss, damage or expense, including reasonable attorneys' fees, suffered or incurred by Landlord, and shall not be limited in the proof of damages which Landlord may claim against Tenant to the amount of the insurance premiums not paid or incurred by Tenant which would have been payable for such insurance.",Tenant Insurance Obligation,Insurance Coverage
The Services outlined in this SOW reflect the initial understanding of Client’s desired Deliverable and Company reserves the right to alter the manner in which Services are provided if Company determines different services are necessary to complete the Deliverable. Company shall provide the following Services to the Client:,Services Outline,Services Provided
"13. Choice of Law. This Agreement will be deemed to have been made in, and shall be construed pursuant to the laws of the State of Washington and the United States without regard to conflicts of laws provisions thereof. Any suit or proceeding arising out of or relating to this Agreement shall be commenced in a federal or state court in Kirkland, Washington, and each party irrevocably submits to the jurisdiction and venue of such courts.

14. Remedies. Company reserves all remedies available at law or equity for any disputes that arise under this Agreement. In the event of a suit or proceeding under this Agreement, Client agrees to pay all attorneys’ fees if the federal or state court renders judgment substantially in Company’s favor.





B. INITIAL STATEMENT OF WORK (SOW) The purpose of this SOW is to describe the Software and Services that Company will initially provide to Daltech, Inc. the “Client”) under the terms and conditions of the Services Agreement entered into between the parties on June 15, 2021 (the “Agreement”). Additional terms and conditions may be set forth in this SOW, and additional SOWs that may be subsequently signed.",Initial SOW Agreement,Services Agreement
"If the Client desires to initiate changes to the SOW, it shall submit to Company a written request to do so. The request will set forth the nature of the Company’s proposed changes to the SOW. Contractor shall complete and return to the Company a written document (“Change Order”) setting forth (i) a written description of the changes to the SOW, (ii) any changes to the schedule, (iii) any changes or additions to the Deliverables and (iv) any changes or additions to the fees.

A Change Order will be binding only if signed by both parties. Any and all Change Orders will be governed by the terms and conditions set forth in this Agreement, and are hereby incorporated by this reference. Any additional Deliverables described in the Change Order will be subject to the Payment provisions as described in Section 7 of the Agreement.

4. Hours of Operation



5.

Travel. If the Deliverable will be completed according to a fixed price SOW and travel is required, then Client must sign the Agreement and SOW and pay required Deposit at least 30 days prior to proposed travel. If the Agreement and SOW are not signed and Deposit is not received at least 30 days prior to proposed travel, Company reserves the right to amend the SOW estimate solely with regard to travel and lodging expenses so that the SOW estimate reflects actual costs incurred by Company.

         •    Engineering:



                •    Monday-Friday 6AM-6PM PST



                •    engineering@digitalmemex.com



                •    (206) 684-8889





         •    Support:



                •    24 x 7 x 365



                •    support@digitalmemex.com



                •    (206) 684-8888",Change Order Agreement,Travel Requirements
"Section 11. Toxicological information

                This mixture has not been evaluated as a whole for health effects. Exposure effects listed are based on existing health data for the individual components which comprise the mixture.",Health Effects,Toxicological Information
"Tenant, at Tenant's sole cost and expense and after notice to Landlord, may contest, by appropriate proceedings prosecuted diligently and in good faith, the legality or applicability of any Requirement affecting the Premises provided that: (a) neither Landlord nor any Indemnities shall be subject to criminal penalties, nor shall the Building or any part thereof be subject to being condemned or vacated, nor shall the certificate of occupancy for the Premises or the Building be suspended or threatened to be suspended, by reason of non-compliance or by reason of such contest; (b) before the commencement of such contest, if Landlord or any Indemnities may be subject to any civil fines or penalties or if Landlord may be liable to any third party as a result of such non-compliance, then Tenant, shall furnish to Landlord either (i) a bond of a surety company satisfactory to Landlord, in form and substance reasonably satisfactory to Landlord, and in an amount at least equal to Landlord's estimate of the sum of (A) the cost of such compliance, (B) the penalties or fines that may accrue by reason of such non-compliance (as reasonably estimated by Landlord) and (C) the amount of such liability to independent third parties, and shall indemnify Landlord (and any Indemnities) against the cost of such compliance and liability resulting from or incurred in connection with such contest or non-compliance; or (ii) other security satisfactory in all respects to Landlord; (c) such non-compliance or contest shall not constitute or result in a violation (either with the giving of notice or the passage of time or both) of the terms of any mortgage or superior Lease affecting the Building, or if such superior Lease or mortgage conditions such non- compliance or contest upon the taking of action or furnishing of security by Landlord, such action shall be 





 taken or such security shall be furnished at the expense of Tenant; and (d) Tenant shall keep Landlord regularly advised as to the status at such proceedings.",Contestability,Contestability
"Additionally, the parties recognize and agree that other damage to Landlord resulting from any failure by Tenant to timely surrender the Premises will be substantial, will exceed the amount of monthly rent theretofore payable hereunder, and will be impossible of accurate measurement. Tenant therefore agrees that if possession of the Premises is not surrendered to Landlord within one (1) day after the date of the expiration or sooner termination of the term of this Lease, then Tenant will pay Landlord as liquidated damages for each month and for each portion of any month during which Lessee holds over in the Premises after the expiration of the term of this Lease, a sum equal to one and one-half (1.5) times the average rent and additional rent which was payable per month under this Lease during the last six months of the term thereof, which sum Tenant agrees to pay to Landlord upon demand, in full, without set-off or deduction, and which sum Tenant agrees is fair and reasonable and does not constitute a penalty. (“Holdover Use and Occupancy”).",Holdover Liquidated Damages,No Landlord Obligation
